frequency_type,frequency_hz,description,chakra,effect_1,effect_2,effect_3,coherence_boost
solfeggio_174,174,pain_reduction,root,foundation,security,pain_relief,0.7
solfeggio_285,285,energy_field,sacral,healing,energy,regeneration,0.75
solfeggio_396,396,liberation,root,grounding,liberation,fear_release,0.8
solfeggio_417,417,transformation,sacral,change,clearing,transmutation,0.82
solfeggio_432,432,universal_harmony,heart,balance,coherence,harmony,0.95
solfeggio_528,528,love_dna_repair,solar_plexus,healing,love,transformation,1.0
solfeggio_639,639,connection,heart,relationships,connection,understanding,0.88
solfeggio_741,741,intuition,throat,expression,intuition,solutions,0.87
solfeggio_852,852,awakening,third_eye,spiritual_order,awakening,clarity,0.90
solfeggio_963,963,unity,crown,divine_connection,unity,pineal_activation,0.92
schumann,7.83,earth_resonance,all,grounding,healing,balance,0.95
gamma_40,40,peak_awareness,crown,focus,consciousness,performance,0.85
theta_6,6,deep_meditation,third_eye,meditation,creativity,insight,0.88
alpha_10,10,relaxation,all,relaxation,learning,flow,0.82
